pgmPartition,pgmLibrary,pgmName,pgmStepCount,pgmCommentCount,Workstn,Disk,Printer
HONSHA01,JJ_LIB,AJJB010,161,30,0,4,2
HONSHA01,JJ_LIB,AJJB020A,347,64,0,7,1
HONSHA01,JJ_LIB,AJJB111A,159,29,0,2,2
HONSHA01,JJ_LIB,AJJBE01,75,25,0,2,0
HONSHA01,JJ_LIB,AJJBE02,77,22,0,1,0
HONSHA01,JJ_LIB,AJJBE03,57,15,0,2,0
HONSHA01,JJ_LIB,AJJBE04,57,19,0,3,0
HONSHA01,OPLIB,AYAE320,42,19,0,1,0
