caller_pgmDepth,caller_pgmPartition,caller_pgmLibrary,caller_pgmName,caller_lineno,pgmDepth,pgmPartition,pgmLibrary,pgmName,pgmStepCount,pgmType,fileNo,filePartition,fileLibrary,fileName,cmdName/fileDevice,cmdPara/fileFormat,recordLength/fileStepCount,fileType,C,R,U,D,testTargetType,real_filePartition,real_ fileLibrary,real_ fileName
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4461,KOUBAI01,BAALIB,BAA050IN,CHKOBJ,OBJ,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA050IN
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4471,KOUBAI01,BAALIB,BAA050IN,CRTPF,FILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA050IN
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4511,KOUBAI01,BAALIB,BAA050IN,CLRPFM,FILE,-,-,-,-,-,D,todo,KOUBAI01,BAALIB,BAA050IN
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4531,KOUBAI01,BAALIB,BAA040D2,FMTDTA,INFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA040D2
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4532,KOUBAI01,BAALIB,BAA040D3,FMTDTA,INFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA040D3
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4533,KOUBAI01,BAALIB,BAA050IN,FMTDTA,OUTFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA050IN
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4534,KOUBAI01,BAALIB,BAA050IN,FMTDTA,SRCFILE/MBR,-,-,-,-,-,-,N,KOUBAI01,BAALIB,BAA050IN
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4631,KOUBAI01,BAALIB,BAA050DK,CHKOBJ,OBJ,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA050DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4641,KOUBAI01,BAALIB,BAA050DK,CRTPF,FILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA050DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4681,KOUBAI01,BAALIB,BAA050DK,CLRPFM,FILE,-,-,-,-,-,D,todo,KOUBAI01,BAALIB,BAA050DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4701,KOUBAI01,BAALIB,BAA050I,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA050I
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4702,KOUBAI01,BAALIB,BAA050IN,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA050IN
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4711,KOUBAI01,BAALIB,BAA050O,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA050O
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4712,KOUBAI01,BAALIB,BAA050DK,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA050DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4801,KOUBAI01,BAALIB,DAISUDMY,CHKOBJ,OBJ,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,DAISUDMY
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4811,KOUBAI01,BAALIB,DAISUDMY,CRTPF,FILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,DAISUDMY
