KOUBAI01,AABLIB,AAB020D1,0
KOUBAI01,AABLIB,AAB020D3,0
KOUBAI01,AABLIB,AAB021DK,0
KOUBAI01,AABLIB,AAB030DK,0
KOUBAI01,AABLIB,AAB030SR,0
KOUBAI01,AABLIB,AAB070IN,0
KOUBAI01,AABLIB,INSUTBFL,0
KOUBAI01,AABLIB,KOUNYU,0
KOUBAI01,AABLIB,YEARDT,0
KOUBAI01,AACLIB,AAC010DK,0
KOUBAI01,AACLIB,AAC010DKL,0
KOUBAI01,AACLIB,AAC010E1,0
KOUBAI01,AACLIB,AAC010E1L,0
KOUBAI01,AACLIB,AAC010I1,0
KOUBAI01,AACLIB,AAC010I1L,0
KOUBAI01,AACLIB,AAC010I2,0
KOUBAI01,AACLIB,AAC010I2L,0
KOUBAI01,AACLIB,AAC010I3,0
KOUBAI01,AACLIB,AAC010I3L,0
KOUBAI01,AACLIB,AAC010O1,0
KOUBAI01,AACLIB,AAC010O1L,0
KOUBAI01,AACLIB,AAC010O2,0
KOUBAI01,AACLIB,AAC010O2L,0
KOUBAI01,AACLIB,AAC010O3,0
KOUBAI01,AACLIB,AAC010O3L,0
KOUBAI01,AACLIB,AAC010O4,0
KOUBAI01,AACLIB,AAC010O4L,0
KOUBAI01,AACLIB,AAC020DK,0
KOUBAI01,AACLIB,AAC020DKL,0
KOUBAI01,AACLIB,AAC020IN,0
KOUBAI01,AACLIB,AAC020INL,0
KOUBAI01,AACLIB,AAC070D1,0
KOUBAI01,AACLIB,AAC070D2,0
KOUBAI01,AACLIB,AAC070D2L,0
KOUBAI01,AACLIB,AAC070DK,0
KOUBAI01,AACLIB,AAC070I1,0
KOUBAI01,AACLIB,AAC070I1L,0
KOUBAI01,AACLIB,AAC070I2,0
KOUBAI01,AACLIB,AAC070I2L,0
KOUBAI01,AACLIB,AAC070IN,0
KOUBAI01,AACLIB,AAC070INL,0
KOUBAI01,AACLIB,AAC080DK,0
KOUBAI01,AACLIB,AAC080DKL,0
KOUBAI01,AACLIB,CHOKIF1,0
KOUBAI01,AACLIB,CHOKIF2,0
KOUBAI01,AACLIB,DATEFLL,0
KOUBAI01,AACLIB,KNYYOS1,0
KOUBAI01,AACLIB,KNYYSXX,0
KOUBAI01,AACLIB,KNYYSXXL,0
KOUBAI01,AACLIB,KOUNYU,0
KOUBAI01,AACLIB,KOUNYU1,0
KOUBAI01,AACLIB,KOUNYU1L,0
KOUBAI01,AACLIB,KOUNYUL,0
KOUBAI01,AACLIB,TJS124,0
KOUBAI01,AAELIB,AAE000EK,0
KOUBAI01,AAELIB,AAE010DK,0
KOUBAI01,AAELIB,AAE010EK,0
KOUBAI01,AAELIB,AAE020DK,0
KOUBAI01,BAALIB,BAA005DK,0
KOUBAI01,BAALIB,DAISUYSK,0
KOUBAI01,BAALIB,INPFL,0
KOUBAI01,BAALIB,INPUT,0
KOUBAI01,COMNLIB,MZDTAPE,0
KOUBAI01,PIGLIB,NAIGAITB,0
KOUBAI01,PIGLIB,YEARTAPE,0
KOUBAI01,VAALIB,VAA500DK,0
KOUBAI01,VABLIB,YUSHOFL.P,0
UnknownPartition,UKIKLIB,RIEKIJ,0
UnknownPartition,UKIKLIB,RIEKIY,0
UnknownPartition,WSVFLIB,JBAA10M0S2,0
UnknownPartition,WSVFLIB,JBAA10M0S3,0
UnknownPartition,WSVFLIB,JBAA10M0SV,0
UnknownPartition,WSVFLIB,JBAA20M0S2,0
UnknownPartition,WSVFLIB,JBAA20M0S3,0
UnknownPartition,WSVFLIB,JBAA20M0S4,0
UnknownPartition,WSVFLIB,JBAA20M0S5,0
UnknownPartition,WSVFLIB,JBAA20M0SV,0
