caller_pgmDepth,caller_pgmPartition,caller_pgmLibrary,caller_pgmName,caller_lineno,pgmDepth,pgmPartition,pgmLibrary,pgmName,pgmStepCount,pgmType,fileNo,filePartition,fileLibrary,fileName,cmdName/fileDevice,cmdPara/fileFormat,recordLength/fileStepCount,fileType,C,R,U,D,testTargetType,real_filePartition,real_ fileLibrary,real_ fileName
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA20M0,698,CL,901,KOUBAI01,BAALIB,BAA050DK,CPYF,FROMFILE,-,-,-,R,-,-,todo,KOUBAI01,BAALIB,BAA050DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA20M0,698,CL,902,KOUBAI01,BAALIB,BAA050D1,CPYF,TOFILE,-,-,C,-,-,-,todo,KOUBAI01,BAALIB,BAA050D1
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA20M0,698,CL,961,KOUBAI01,BAALIB,BAA060DK,CPYF,FROMFILE,-,-,-,R,-,-,todo,KOUBAI01,BAALIB,BAA060DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA20M0,698,CL,962,KOUBAI01,BAALIB,BAA060D1,CPYF,TOFILE,-,-,C,-,-,-,todo,KOUBAI01,BAALIB,BAA060D1
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA20M0,698,CL,1021,KOUBAI01,BAALIB,BAA050DK,DLTF,FILE,-,-,-,-,-,D,todo,KOUBAI01,BAALIB,BAA050DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA20M0,698,CL,1041,KOUBAI01,BAALIB,BAA060DK,DLTF,FILE,-,-,-,-,-,D,todo,KOUBAI01,BAALIB,BAA060DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA20M0,698,CL,1121,KOUBAI01,BAALIB,BAA015DK,CHKOBJ,OBJ,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA015DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA20M0,698,CL,1131,KOUBAI01,BAALIB,BAA015DK,CRTPF,FILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA015DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA20M0,698,CL,1171,KOUBAI01,BAALIB,BAA015DK,CLRPFM,FILE,-,-,-,-,-,D,todo,KOUBAI01,BAALIB,BAA015DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA20M0,698,CL,1191,KOUBAI01,BAALIB,BAA015I,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA015I
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA20M0,698,CL,1192,KOUBAI01,AACLIB,AAC010DK,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,AACLIB,AAC010DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA20M0,698,CL,1201,KOUBAI01,BAALIB,BAA015O,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA015O
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA20M0,698,CL,1202,KOUBAI01,BAALIB,BAA015DK,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA015DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA20M0,698,CL,1781,KOUBAI01,BAALIB,WBAA015DK,CHKOBJ,OBJ,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,WBAA015DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA20M0,698,CL,1791,KOUBAI01,BAALIB,WBAA015DK,CRTPF,FILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,WBAA015DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA20M0,698,CL,1831,KOUBAI01,BAALIB,WBAA015DK,CLRPFM,FILE,-,-,-,-,-,D,todo,KOUBAI01,BAALIB,WBAA015DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA20M0,698,CL,1851,KOUBAI01,BAALIB,BAA015DK,FMTDTA,INFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA015DK
